Município,Casos de HIV
150750 São João do Araguaia,1
150760 São Miguel do Guamá,16
150770 São Sebastião da Boa Vista,1
150775 Sapucaia,4
150780 Senador José Porfírio,2
150790 Soure,12
150795 Tailândia,23
150796 Terra Alta,1
150797 Terra Santa,4
150800 Tomé-Açu,15
150803 Tracuateua,4
150808 Tucumã,3
150810 Tucuruí,31
150812 Ulianópolis,8
150815 Uruará,3
150820 Vigia,23
150830 Viseu,2
150835 Vitória do Xingu,1
150840 Xinguara,10
160010 Amapá,1
160020 Calçoene,2
160021 Cutias,2
160023 Ferreira Gomes,4
160027 Laranjal do Jari,10
160030 Macapá,167
160040 Mazagão,1
160050 Oiapoque,6
160053 Porto Grande,5
160060 Santana,18
160080 Vitória do Jari,3
170030 Aguiarnópolis,1
170070 Alvorada,1
170130 Aragominas,2
170210 Araguaína,44
170220 Araguatins,2
170230 Arapoema,3
170255 Augustinópolis,4
170290 Axixá do Tocantins,2
170320 Bernardo Sayão,1
170370 Brejinho de Nazaré,2
170510 Chapada da Natividade,1
170550 Colinas do Tocantins,6
171670 Colméia,2
170600 Couto de Magalhães,3
170700 Dianópolis,2
170710 Divinópolis do Tocantins,3
170730 Dueré,1
170765 Figueirópolis,1
170770 Filadélfia,1
170820 Formoso do Araguaia,1
170825 Fortaleza do Tabocão,2
170900 Goiatins,1
170930 Guaraí,4
170950 Gurupi,13
171190 Lagoa da Confusão,3
171200 Lajeado,1
171245 Luzinópolis,1
171250 Marianópolis do Tocantins,1
171320 Miracema do Tocantins,1
171330 Miranorte,1
171360 Monte do Carmo,1
171488 Nova Olinda,3
171510 Novo Acordo,1
172100 Palmas,47
171610 Paraíso do Tocantins,11
171650 Pedro Afonso,1
171660 Peixe,2
171665 Pequizeiro,1
171820 Porto Nacional,1
171845 Pugmil,2
171855 Riachinho,1
171880 Sampaio,1
172030 São Sebastião do Tocantins,1
172065 Silvanópolis,1
172080 Sítio Novo do Tocantins,1
172120 Tocantinópolis,1
172208 Wanderlândia,2
172210 Xambioá,4
210005 Açailândia,21
210020 Alcântara,2
210030 Aldeias Altas,1
210043 Alto Alegre do Maranhão,14
210055 Amapá do Maranhão,2
210060 Amarante do Maranhão,2
210083 Apicum-Açu,4
210100 Arari,1
210120 Bacabal,42
210125 Bacabeira,2
210130 Bacuri,7
210140 Balsas,7
210160 Barra do Corda,12
210170 Barreirinhas,13
210177 Bela Vista do Maranhão,3
210190 Bequimão,8
210200 Bom Jardim,4
210203 Bom Jesus das Selvas,1
210207 Bom Lugar,4
210210 Brejo,1
210220 Buriti,1
210230 Buriti Bravo,1
210232 Buriticupu,7
210235 Buritirana,1
210250 Cajari,1
210255 Campestre do Maranhão,3
210260 Cândido Mendes,6
210270 Cantanhede,3
210275 Capinzal do Norte,2
210280 Carolina,2
210290 Carutapera,4
210300 Caxias,39
210310 Cedral,2
210315 Centro do Guilherme,2
210320 Chapadinha,7
210325 Cidelândia,1
210330 Codó,56
210340 Coelho Neto,11
210350 Colinas,10
210360 Coroatá,12
210370 Cururupu,8
210380 Dom Pedro,2
210390 Duque Bacelar,3
210400 Esperantinópolis,1
210405 Estreito,11
210409 Formosa da Serra Negra,2
210410 Fortaleza dos Nogueiras,1
210420 Fortuna,4
210440 Gonçalves Dias,2
210450 Governador Archer,1
210455 Governador Edison Lobão,1
210460 Governador Eugênio Barros,3
210465 Governador Newton Bello,1
210467 Governador Nunes Freire,9
210480 Grajaú,6
210490 Guimarães,3
210500 Humberto de Campos,4
210510 Icatu,2
210515 Igarapé do Meio,2
210520 Igarapé Grande,5
210530 Imperatriz,52
210535 Itaipava do Grajaú,4
210540 Itapecuru Mirim,10
210542 Itinga do Maranhão,9
210545 Jatobá,5
210550 João Lisboa,2
210560 Joselândia,1
210570 Lago da Pedra,8
210580 Lago do Junco,2
210594 Lago dos Rodrigues,2
210590 Lago Verde,3
210598 Lajeado Novo,2
210600 Lima Campos,2
210632 Maracaçumé,2
210650 Matinha,3
210660 Matões,4
210663 Matões do Norte,2
210670 Mirador,3
210675 Miranda do Norte,4
210680 Mirinzal,4
210690 Monção,1
210735 Nova Olinda do Maranhão,2
210740 Olho d'Água das Cunhãs,3
210745 Olinda Nova do Maranhão,1
210750 Paço do Lumiar,44
210760 Palmeirândia,3
210770 Paraibano,3
210790 Passagem Franca,2
210800 Pastos Bons,1
210805 Paulino Neves,2
210820 Pedreiras,16
210825 Pedro do Rosário,2
210830 Penalva,4
210840 Peri Mirim,2
210860 Pinheiro,26
210870 Pio XII,12
210880 Pirapemas,9
210900 Porto Franco,1
210905 Porto Rico do Maranhão,5
210910 Presidente Dutra,13
210923 Presidente Médici,1
210927 Presidente Sarney,3
210930 Presidente Vargas,1
210940 Primeira Cruz,1
210945 Raposa,7
210950 Riachão,2
210955 Ribamar Fiquene,1
210960 Rosário,10
210980 Santa Helena,7
210990 Santa Inês,15
211000 Santa Luzia,13
211003 Santa Luzia do Paruá,1
211010 Santa Quitéria do Maranhão,2
211020 Santa Rita,4
211027 Santo Amaro do Maranhão,3
211030 Santo Antônio dos Lopes,3
211060 São Bernardo,2
211070 São Domingos do Maranhão,6
211090 São Francisco do Maranhão,1
211100 São João Batista,2
211105 São João do Paraíso,1
211107 São João do Soter,2
211120 São José de Ribamar,66
211125 São José dos Basílios,1
211130 São Luís,444
211140 São Luís Gonzaga do Maranhão,5
211150 São Mateus do Maranhão,19
211153 São Pedro da Água Branca,2
211163 São Raimundo do Doca Bezerra,1
211170 São Vicente Ferrer,2
211172 Satubinha,1
211178 Serrano do Maranhão,4
211180 Sítio Novo,1
211210 Timbiras,6
211220 Timon,26
211223 Trizidela do Vale,12
211230 Tuntum,2
211240 Turiaçu,3
211245 Turilândia,1
211250 Tutóia,6
211260 Urbano Santos,5
211270 Vargem Grande,6
211280 Viana,10
211285 Vila Nova dos Martírios,2
211290 Vitória do Mearim,2
211300 Vitorino Freire,2
211400 Zé Doca,3
220020 Água Branca,2
220030 Alto Longá,2
220040 Altos,9
220050 Amarante,1
220100 Arraial,1
220120 Barras,3
220140 Barro Duro,1
220160 Beneditinos,1
220180 Bocaina,2
220196 Brasileira,2
220200 Buriti dos Lopes,4
220205 Cabeceiras do Piauí,2
220208 Cajueiro da Praia,1
220220 Campo Maior,6
220250 Caracol,1
220260 Castelo do Piauí,3
220273 Coivaras,1
220277 Colônia do Piauí,1
220320 Curimatá,1
220350 Elesbão Veloso,4
220370 Esperantina,6
220375 Fartura do Piauí,1
220390 Floriano,8
220420 Francisco Santos,1
220430 Fronteiras,1
220435 Geminiano,1
220450 Guadalupe,4
220465 Ilha Grande,3
220470 Inhuma,1
220520 Jaicós,1
220525 Jardim do Mulato,1
220527 Jatobá do Piauí,1
220545 Joca Marques,1
220550 José de Freitas,6
220551 Juazeiro do Piauí,1
220570 Luís Correia,4
220580 Luzilândia,4
220585 Madeiro,1
220595 Marcolândia,2
220620 Miguel Alves,4
220630 Miguel Leão,1
220640 Monsenhor Gil,1
220670 Nazaré do Piauí,1
220700 Oeiras,10
220770 Parnaíba,34
220780 Paulistana,1
220790 Pedro II,3
220800 Picos,8
220820 Pio IX,1
220830 Piracuruca,2
220840 Piripiri,15
220855 Porto Alegre do Piauí,1
220880 Regeneração,4
220910 Santa Cruz do Piauí,1
220955 São Braz do Piauí,1
220985 São João da Canabrava,1
220990 São João da Serra,1
220997 São João do Arraial,1
221000 São João do Piauí,1
221010 São José do Peixe,1
221037 São Luis do Piauí,1
221038 São Miguel da Baixa Grande,2
221040 São Miguel do Tapuio,2
221050 São Pedro do Piauí,1
221060 São Raimundo Nonato,3
221063 Sebastião Leal,1
221080 Simplício Mendes,2
221090 Socorro do Piauí,1
221100 Teresina,211
221110 União,5
221120 Uruçuí,1
221130 Valença do Piauí,1
221150 Vera Mendes,1
230015 Acarape,1
230020 Acaraú,3
230030 Acopiara,3
230040 Aiuaba,1
230050 Alcântaras,4
230060 Altaneira,1
230090 Apuiarés,1
230100 Aquiraz,10
230110 Aracati,10
230120 Aracoiaba,1
230130 Araripe,3
230140 Aratuba,1
230150 Arneiroz,2
230160 Assaré,3
230170 Aurora,1
230190 Barbalha,7
230195 Barreira,3
230205 Barroquinha,4
230210 Baturité,3
230220 Beberibe,5
230230 Bela Cruz,3
230240 Boa Viagem,4
230250 Brejo Santo,3
230260 Camocim,4
230270 Campos Sales,1
230280 Canindé,12
230290 Capistrano,2
230300 Caridade,1
230320 Caririaçu,4
230350 Cascavel,3
230365 Catunda,1
230370 Caucaia,54
230380 Cedro,1
230395 Chorozinho,3
230410 Crateús,9
230420 Crato,18
230423 Croatá,1
230425 Cruz,1
230428 Eusébio,6
230435 Forquilha,1
230440 Fortaleza,709
230445 Fortim,3
230450 Frecheirinha,1
230465 Graça,2
230470 Granja,2
230490 Groaíras,1
230495 Guaiúba,1
230500 Guaraciaba do Norte,1
230523 Horizonte,12
230530 Ibiapina,2
230535 Icapuí,1
230540 Icó,1
230550 Iguatu,16
230570 Ipaumirim,1
230580 Ipu,1
230590 Ipueiras,6
230610 Irauçuba,2
230620 Itaiçaba,1
230625 Itaitinga,10
230630 Itapagé,1
230640 Itapipoca,17
230650 Itapiúna,3
230655 Itarema,2
230660 Itatira,2
230690 Jaguaribe,1
230700 Jaguaruana,1
230710 Jardim,1
230730 Juazeiro do Norte,31
230740 Jucás,4
230750 Lavras da Mangabeira,1
230760 Limoeiro do Norte,5
230763 Madalena,1
230765 Maracanaú,65
230770 Maranguape,6
230780 Marco,2
230800 Massapê,1
230830 Milagres,3
230835 Milhã,1
230840 Missão Velha,7
230850 Mombaça,4
230860 Monsenhor Tabosa,1
230870 Morada Nova,3
230880 Moraújo,1
230890 Morrinhos,1
230900 Mucambo,2
230930 Nova Russas,1
230940 Novo Oriente,2
230960 Pacajus,12
230970 Pacatuba,10
230980 Pacoti,2
231000 Palhano,2
231020 Paracuru,4
231030 Parambu,2
231040 Paramoti,1
231050 Pedra Branca,3
231070 Pentecoste,4
231085 Pindoretama,2
231095 Pires Ferreira,1
231126 Quiterianópolis,1
231130 Quixadá,5
231140 Quixeramobim,5
231150 Quixeré,3
231160 Redenção,3
231170 Reriutaba,2
231180 Russas,6
231195 Salitre,1
231230 São Benedito,6
231240 São Gonçalo do Amarante,11
231260 São Luís do Curu,2
231290 Sobral,31
231300 Solonópole,2
231310 Tabuleiro do Norte,1
231320 Tamboril,2
231330 Tauá,5
231340 Tianguá,5
231350 Trairi,1
231355 Tururu,3
231375 Umirim,1
231380 Uruburetama,3
231390 Uruoca,3
231400 Várzea Alegre,2
231410 Viçosa do Ceará,2
240010 Acari,1
240020 Açu,10
240050 Alexandria,2
240080 Angicos,2
240110 Areia Branca,2
240130 Augusto Severo,1
240145 Baraúna,6
240170 Bom Jesus,2
240200 Caicó,3
240220 Canguaretama,16
240230 Caraúbas,1
240250 Carnaubais,2
240260 Ceará-Mirim,8
240310 Currais Novos,5
240360 Extremoz,4
240400 Frutuoso Gomes,1
240420 Goianinha,1
240430 Governador Dix-Sept Rosado,4
240440 Grossos,4
240450 Guamaré,4
240485 Itajá,3
240510 Jandaíra,4
240540 Japi,1
240560 Jardim de Piranhas,1
240580 João Câmara,4
240630 Lagoa de Pedras,1
240660 Lagoa Salgada,1
240670 Lajes,1
240680 Lajes Pintadas,1
240690 Lucrécia,1
240700 Luís Gomes,2
240710 Macaíba,11
240720 Macau,3
240725 Major Sales,1
240730 Marcelino Vieira,1
240770 Montanhas,2
240780 Monte Alegre,4
240800 Mossoró,58
240810 Natal,221
240820 Nísia Floresta,2
240830 Nova Cruz,7
240840 Olho-d'Água do Borges,1
240860 Paraná,1
240890 Parelhas,1
240325 Parnamirim,28
240910 Passa e Fica,1
240930 Patu,1
240940 Pau dos Ferros,3
240980 Pedro Velho,1
240990 Pendências,3
241020 Portalegre,1
241030 Presidente Juscelino,3
241090 Riachuelo,1
240895 Rio do Fogo,1
241120 Santa Cruz,4
241160 São Bento do Norte,1
241190 São Francisco do Oeste,1
241200 São Gonçalo do Amarante,22
241220 São José de Mipibu,2
241250 São Miguel,1
241270 São Pedro,1
241280 São Rafael,1
241290 São Tomé,2
241335 Serra do Mel,1
241340 Serra Negra do Norte,1
241390 Taipu,1
241400 Tangará,2
241105 Tibau,1
241440 Touros,4
241480 Vera Cruz,1
250020 Aguiar,3
250030 Alagoa Grande,4
250053 Alcantil,1
250057 Algodão de Jandaíra,1
250060 Alhandra,2
250110 Areia,1
250120 Areial,3
250140 Baía da Traição,1
250153 Baraúna,1
250160 Barra de Santa Rosa,3
250180 Bayeux,22
250190 Belém,1
250200 Belém do Brejo do Cruz,1
250300 Caaporã,2
250320 Cabedelo,15
250340 Cacimba de Areia,1
250370 Cajazeiras,2
250400 Campina Grande,50
251640 Campo de Santana,2
250430 Catolé do Rocha,2
250435 Caturité,1
250440 Conceição,1
250460 Conde,4
250490 Cruz do Espírito Santo,3
250520 Cuitegi,2
250600 Esperança,2
250610 Fagundes,1
250630 Guarabira,9
250640 Gurinhém,1
250690 Itabaiana,2
250700 Itaporanga,1
250710 Itapororoca,2
250720 Itatuba,1
250730 Jacaraú,1
250750 João Pessoa,158
250760 Juarez Távora,3
250770 Juazeirinho,3
250790 Juripiranga,3
250830 Lagoa Seca,2
250850 Livramento,1
250860 Lucena,4
250890 Mamanguape,6
250905 Marcação,1
250910 Mari,5
251000 Nazarezinho,1
251040 Olho d'Água,3
251080 Patos,18
251110 Pedra Lavrada,2
251120 Pedras de Fogo,7
251130 Piancó,2
251140 Picuí,1
251150 Pilar,1
251190 Pitimbu,2
251200 Pocinhos,1
251210 Pombal,2
251250 Queimadas,3
251270 Remígio,2
251278 Riacho de Santo Antônio,1
251290 Rio Tinto,6
251315 Santa Cecília,2
251340 Santa Luzia,1
251370 Santa Rita,24
251360 Santana dos Garrotes,2
251394 São Domingos do Cariri,1
251500 São Miguel de Taipu,1
251530 Sapé,3
251540 Seridó,1
251550 Serra Branca,1
251580 Serra Redonda,2
251597 Sobrado,1
251600 Solânea,1
251610 Soledade,2
251620 Sousa,3
251630 Sumé,2
251680 Triunfo,2
251690 Uiraúna,1
260005 Abreu e Lima,33
260010 Afogados da Ingazeira,1
260030 Agrestina,5
260040 Água Preta,4
260050 Águas Belas,4
260070 Aliança,7
260080 Altinho,1
260090 Amaraji,5
260100 Angelim,3
260105 Araçoiaba,1
260110 Araripina,3
260120 Arcoverde,3
260140 Barreiros,6
260150 Belém de Maria,2
260160 Belém de São Francisco,4
260170 Belo Jardim,4
260190 Bezerros,7
260210 Bom Conselho,1
260220 Bom Jardim,3
260230 Bonito,5
260240 Brejão,3
260250 Brejinho,1
260260 Brejo da Madre de Deus,2
260270 Buenos Aires,2
260280 Buíque,2
260290 Cabo de Santo Agostinho,53
260310 Cachoeirinha,1
260320 Caetés,1
260345 Camaragibe,47
260350 Camocim de São Félix,2
260370 Canhotinho,4
260390 Carnaíba,1
260392 Carnaubeira da Penha,1
260400 Carpina,15
260410 Caruaru,78
260415 Casinhas,1
260420 Catende,2
260440 Chã de Alegria,1
260450 Chã Grande,6
260460 Condado,4
260480 Cortês,3
260490 Cumaru,3
260500 Cupira,1
260520 Escada,15
260540 Feira Nova,2
260545 Fernando de Noronha,1
260550 Ferreiros,3
260560 Flores,1
260590 Gameleira,3
260600 Garanhuns,20
260610 Glória do Goitá,1
260620 Goiana,12
260640 Gravatá,17
260650 Iati,2
260660 Ibimirim,1
260680 Igarassu,27
260760 Ilha de Itamaracá,8
260720 Ipojuca,32
260750 Itaíba,3
260765 Itambé,4
260770 Itapetim,2
260775 Itapissuma,8
260780 Itaquitinga,1
260790 Jaboatão dos Guararapes,248
260795 Jaqueira,1
260800 Jataúba,1
260810 João Alfredo,1
260825 Jucati,1
260830 Jupi,1
260840 Jurema,1
260845 Lagoa do Carro,1
260850 Lagoa do Itaenga,1
260860 Lagoa do Ouro,1
260870 Lagoa dos Gatos,2
260880 Lajedo,2
260890 Limoeiro,9
260900 Macaparana,1
260920 Maraial,1
260930 Mirandiba,2
261430 Moreilândia,1
260940 Moreno,8
260950 Nazaré da Mata,5
260960 Olinda,129
260990 Ouricuri,1
261000 Palmares,16
261020 Panelas,1
261030 Paranatama,1
261050 Passira,1
261060 Paudalho,3
261070 Paulista,88
261080 Pedra,3
261090 Pesqueira,6
261110 Petrolina,63
261130 Pombos,1
261140 Primavera,3
261160 Recife,597
261170 Riacho das Almas,1
261180 Ribeirão,8
261190 Rio Formoso,7
261200 Sairé,1
261220 Salgueiro,2
261230 Saloá,1
261240 Sanharó,1
261250 Santa Cruz do Capibaribe,7
261260 Santa Maria da Boa Vista,1
261270 Santa Maria do Cambucá,2
261300 São Bento do Una,5
261310 São Caitano,5
261320 São João,1
261330 São Joaquim do Monte,4
261340 São José da Coroa Grande,6
261350 São José do Belmonte,1
261370 São Lourenço da Mata,19
261380 São Vicente Ferrer,1
261390 Serra Talhada,7
261400 Serrita,1
261410 Sertânia,4
261420 Sirinhaém,8
261450 Surubim,4
261460 Tabira,1
261470 Tacaimbó,1
261485 Tamandaré,1
261500 Taquaritinga do Norte,4
261530 Timbaúba,4
261540 Toritama,3
261560 Trindade,7
261570 Triunfo,2
261590 Tuparetama,1
261600 Venturosa,2
261620 Vertentes,2
261630 Vicência,2
261640 Vitória de Santo Antão,31
261650 Xexéu,4
260000 Município ignorado - PE,1
270010 Água Branca,1
270020 Anadia,1
270030 Arapiraca,34
270040 Atalaia,4
270050 Barra de Santo Antônio,2
270060 Barra de São Miguel,2
270120 Cacimbinhas,1
270130 Cajueiro,1
270140 Campo Alegre,5
270160 Canapi,1
270170 Capela,2
270180 Carneiros,1
270190 Chã Preta,1
270200 Coité do Nóia,6
270220 Coqueiro Seco,2
270230 Coruripe,4
270235 Craíbas,1
270240 Delmiro Gouveia,4
270280 Flexeiras,2
270290 Girau do Ponciano,2
270310 Igaci,1
270330 Inhapi,1
270350 Jacuípe,3
270375 Jequiá da Praia,3
270380 Joaquim Gomes,2
270390 Jundiá,1
270400 Junqueiro,2
270430 Maceió,264
270440 Major Isidoro,2
270450 Maragogi,6
270470 Marechal Deodoro,7
270510 Matriz de Camaragibe,8
270520 Messias,3
270550 Murici,8
270560 Novo Lino,4
270580 Olho d'Água do Casado,1
270610 Ouro Branco,2
270630 Palmeira dos Índios,6
270640 Pão de Açúcar,2
270644 Paripueira,5
270650 Passo de Camaragibe,1
270670 Penedo,2
270690 Pilar,10
270710 Piranhas,6
270730 Porto Calvo,6
270750 Porto Real do Colégio,1
270770 Rio Largo,9
270790 Santa Luzia do Norte,2
270800 Santana do Ipanema,4
270830 São José da Laje,4
270850 São Luís do Quitunde,8
270860 São Miguel dos Campos,9
270870 São Miguel dos Milagres,1
270880 São Sebastião,5
270890 Satuba,5
270910 Taquarana,1
270915 Teotônio Vilela,4
270930 União dos Palmares,10
270940 Viçosa,1
280030 Aracaju,170
280050 Areia Branca,2
280060 Barra dos Coqueiros,8
280067 Boquim,2
280070 Brejo Grande,1
280100 Campo do Brito,3
280120 Canindé de São Francisco,3
280130 Capela,2
280140 Carira,1
280150 Carmópolis,1
280160 Cedro de São João,2
280200 Divina Pastora,1
280210 Estância,12
280250 General Maynard,2
280260 Gracho Cardoso,1
280270 Ilha das Flores,1
280280 Indiaroba,1
280290 Itabaiana,12
280300 Itabaianinha,3
280320 Itaporanga d'Ajuda,6
280330 Japaratuba,1
280350 Lagarto,3
280360 Laranjeiras,5
280370 Macambira,1
280380 Malhada dos Bois,1
280400 Maruim,2
280410 Moita Bonita,1
280420 Monte Alegre de Sergipe,1
280430 Muribeca,1
280440 Neópolis,2
280450 Nossa Senhora da Glória,4
280460 Nossa Senhora das Dores,1
280480 Nossa Senhora do Socorro,44
280490 Pacatuba,1
280520 Pinhão,1
280530 Pirambu,2
280540 Poço Redondo,3
280550 Poço Verde,1
280570 Propriá,8
280580 Riachão do Dantas,1
280590 Riachuelo,1
280620 Salgado,3
280670 São Cristóvão,28
280690 São Francisco,4
280710 Simão Dias,5
280730 Telha,2
280740 Tobias Barreto,5
280750 Tomar do Geru,1
280760 Umbaúba,5
290010 Abaíra,1
290035 Adustina,1
290070 Alagoinhas,14
290090 Almadina,1
290100 Amargosa,4
290110 Amélia Rodrigues,3
290115 América Dourada,2
290140 Angical,1
290180 Antônio Gonçalves,2
290195 Apuarema,1
290205 Araças,1
290210 Araci,4
290220 Aramari,1
290225 Arataca,2
290230 Aratuípe,1
290240 Aurelino Leal,2
290260 Baixa Grande,1
290290 Barra do Choça,1
290300 Barra do Mendes,1
290320 Barreiras,28
290330 Barro Preto,1
290327 Barrocas,2
290340 Belmonte,9
290380 Boa Vista do Tupim,1
290390 Bom Jesus da Lapa,4
290405 Bonito,2
290460 Brumado,5
290470 Buerarema,3
290480 Caatiba,1
290485 Cabaceiras do Paraguaçu,2
290490 Cachoeira,3
290520 Caetité,2
290540 Cairu,1
290550 Caldeirão Grande,1
290560 Camacan,5
290570 Camaçari,51
290600 Campo Formoso,1
290630 Canavieiras,5
290650 Candeias,11
290670 Cândido Sales,1
290680 Cansanção,1
290687 Capim Grosso,2
290720 Casa Nova,2
290730 Castro Alves,3
290750 Catu,3
290780 Cícero Dantas,1
290790 Cipó,1
290800 Coaraci,1
290820 Conceição da Feira,2
290830 Conceição do Almeida,1
290840 Conceição do Coité,1
290850 Conceição do Jacuípe,3
290890 Coração de Maria,2
290980 Cruz das Almas,6
290990 Curaçá,2
291005 Dias d'Ávila,16
291020 Dom Macedo Costa,1
291050 Entre Rios,6
291060 Esplanada,3
291070 Euclides da Cunha,2
291072 Eunápolis,23
291080 Feira de Santana,104
291110 Formosa do Rio Preto,4
291120 Gandu,3
291150 Gongogi,1
291160 Governador Mangabeira,3
291170 Guanambi,8
291180 Guaratinga,1
291190 Iaçu,1
291210 Ibicaraí,1
291220 Ibicoara,1
291230 Ibicuí,2
291250 Ibipitanga,1
291270 Ibirapitanga,2
291280 Ibirapuã,1
291290 Ibirataia,6
291310 Ibititá,1
291320 Ibotirama,5
291345 Igrapiúna,1
291360 Ilhéus,32
291370 Inhambupe,4
291380 Ipecaetá,1
291390 Ipiaú,6
291420 Irajuba,1
291440 Iraquara,1
291450 Irará,3
291460 Irecê,5
291465 Itabela,7
291470 Itaberaba,3
291480 Itabuna,41
291510 Itagi,1
291550 Itajuípe,2
291560 Itamaraju,13
291580 Itambé,3
291590 Itanagra,3
291600 Itanhém,4
291610 Itaparica,3
291620 Itapé,1
291630 Itapebi,3
291640 Itapetinga,6
291650 Itapicuru,1
291660 Itapitanga,1
291670 Itaquara,2
291690 Itiruçu,1
291700 Itiúba,1
291720 Ituaçu,2
291740 Jacaraci,1
291750 Jacobina,1
291760 Jaguaquara,1
291780 Jaguaripe,2
291800 Jequié,26
291820 Jiquiriçá,1
291830 Jitaúna,1
291835 João Dourado,3
